Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура
2009-01-01,-3.0,-9.0,-5.1,986.9,6.0,2.0,-11.2
2009-01-02,-8.0,-13.0,-11.0,989.0,6.0,0.0,-17.6
2009-01-03,-12.0,-14.0,-12.9,988.7,5.0,0.0,-19.0
2009-01-04,-12.0,-19.0,-15.1,988.2,3.0,1.0,-20.0
2009-01-05,-11.0,-17.0,-13.3,994.8,4.0,0.0,-18.8
2009-01-06,-8.0,-20.0,-12.6,994.0,6.0,0.0,-19.3
2009-01-07,-9.0,-12.0,-9.9,987.8,8.0,0.0,-17.8
2009-01-08,-11.0,-21.0,-13.9,991.6,4.0,1.0,-19.4
2009-01-09,-10.0,-20.0,-14.1,987.6,3.0,2.0,-19.0
2009-01-10,-12.0,-20.0,-15.1,1000.4,4.0,1.0,-20.7
2009-01-11,-1.0,-15.0,-7.3,1001.2,4.0,1.0,-12.2
2009-01-12,1.0,-1.0,-0.3,992.7,5.0,3.0,-5.2
2009-01-13,1.0,-4.0,-1.4,992.4,7.0,0.0,-8.0
2009-01-14,-1.0,-4.0,-2.1,996.1,5.0,0.0,-7.3
2009-01-15,-1.0,-4.0,-2.3,995.7,3.0,3.0,-6.1
2009-01-16,-1.0,-4.0,-2.6,995.7,3.0,2.0,-6.4
2009-01-17,-2.0,-4.0,-2.3,1006.3,8.0,1.0,-9.4
2009-01-18,-4.0,-7.0,-5.4,1000.5,6.0,1.0,-11.5
2009-01-19,-6.0,-9.0,-7.1,992.8,3.0,3.0,-11.4
2009-01-20,-5.0,-10.0,-6.6,998.5,2.0,1.0,-10.2
2009-01-21,-4.0,-11.0,-6.4,1005.4,3.0,3.0,-10.6
2009-01-22,1.0,-4.0,-1.3,1000.2,5.0,5.0,-6.3
2009-01-23,1.0,-1.0,0.4,989.9,5.0,4.0,-4.4
2009-01-24,-1.0,-3.0,-2.0,988.2,4.0,0.0,-6.4
2009-01-25,0.0,-1.0,-0.1,991.5,4.0,0.0,-4.2
2009-01-26,0.0,-5.0,-1.5,995.1,4.0,0.0,-5.8
2009-01-27,-1.0,-4.0,-2.1,998.0,1.0,1.0,-4.5
2009-01-28,0.0,-1.0,-0.4,998.5,2.0,1.0,-3.2
2009-01-29,1.0,-2.0,-0.6,994.2,4.0,6.0,-4.8
2009-01-30,-2.0,-12.0,-5.1,999.6,4.0,1.0,-9.9
2009-01-31,-12.0,-22.0,-16.8,1007.4,3.0,1.0,-21.9
2009-02-01,-17.0,-24.0,-21.0,1010.8,2.0,0.0,-25.7
2009-02-02,-13.0,-24.0,-17.9,1009.0,3.0,0.0,-23.0
2009-02-03,-8.0,-15.0,-12.2,1004.5,4.0,0.0,-17.6
2009-02-04,-6.0,-16.0,-10.3,992.6,3.0,7.0,-14.9
2009-02-05,-6.0,-15.0,-10.6,988.7,2.0,0.0,-14.6
2009-02-06,-9.0,-16.0,-12.0,991.7,3.0,0.0,-16.7
2009-02-07,-4.0,-9.0,-6.5,990.8,3.0,1.0,-10.7
2009-02-08,2.0,-3.0,0.4,990.7,4.0,0.0,-3.7
2009-02-09,2.0,0.0,0.9,990.0,5.0,2.0,-3.7
2009-02-10,0.0,-1.0,-0.1,987.1,5.0,2.0,-4.9
2009-02-11,-1.0,-3.0,-2.1,990.1,3.0,4.0,-5.9
2009-02-12,1.0,-2.0,-0.8,994.7,2.0,0.0,-3.8
2009-02-13,0.0,-1.0,-0.9,995.8,4.0,1.0,-5.2
2009-02-14,1.0,-2.0,-0.6,992.6,4.0,10.0,-4.8
2009-02-15,1.0,-1.0,0.4,992.2,3.0,10.0,-3.0
2009-02-16,1.0,-1.0,-0.3,993.8,4.0,1.0,-4.4
2009-02-17,0.0,-2.0,-0.6,993.9,3.0,3.0,-4.2
2009-02-18,1.0,-8.0,-0.9,998.0,4.0,4.0,-5.2
2009-02-19,-2.0,-13.0,-7.1,1008.6,2.0,0.0,-10.7
2009-02-20,-1.0,-8.0,-4.7,1010.5,3.0,1.0,-8.7
2009-02-21,-4.0,-13.0,-7.6,1014.6,4.0,0.0,-12.6
2009-02-22,-10.0,-18.0,-13.0,1010.3,4.0,0.0,-18.5
